title,link,date,summary
Stock market today: Nasdaq edges back from its record as chip companies and Eli Lilly slump,https://apnews.com/article/financial-markets-oil-prices-tech-stocks-inflation-cad4ec20af6d16d130c18c60a9c4d655,2024-10-30 22:18:10,U.S. stock indexes edged lower after drops for Eli Lilly and chip companies overshadowed a jump for Google’s parent company. The S&P 500 slipped 0.3% Wednesday.
US economy grew at a solid 2.8% pace last quarter on strength of consumer spending,https://apnews.com/article/economy-growth-inflation-gdp-consumers-federal-reserve-6a3fbfb5790b07434d656a95865b7435,2024-10-30 15:55:33,
IMF chief warns that world risks falling into slow-growth rut and urges China to enact reforms,https://apnews.com/article/imf-world-economy-debt-inflation-32b7b5fe50176a680a380835e7113723,2024-10-24 15:50:51,
Yellen says isolationism ‘made America and the world worse off’ in speech to global finance leaders,https://apnews.com/article/imf-world-bank-yellen-global-finance-bd58fde32b3717190429cb439767cddd,2024-10-22 16:50:40,
"China’s economy grows at a 4.6% rate in the last quarter, falls short of the official 5% target",https://apnews.com/article/china-gdp-economy-property-jinping-d98f4fcc041a8749618d53e26376ac2e,2024-10-18 12:28:13,
"China’s exports slow sharply in September, adding to worries over the economy",https://apnews.com/article/china-trade-economy-tariffs-3a003497a9f146acfa1129af4bfae4b6,2024-10-14 11:56:13,"China’s exports slowed sharply in September as global demand weakened, adding to worries over how to recharge growth in the world’s second-largest economy."
South Korea’s central bank cuts rates in a bid to boost the economy,https://apnews.com/article/south-korea-rate-cut-central-bank-economy-66f3bdd72aae9910f072b08f901b711f,2024-10-11 10:47:00,South Korea’s central bank cut its policy rate for the first time in more than four years as pressure to revive a sluggish economy outweighed concerns about the country’s level of household debt.
Germany’s economy is on track to shrink for a second straight year,https://apnews.com/article/germany-economy-gdp-recession-government-a4d30f2e398d12afbd793d69c5ac76de,2024-10-09 19:20:30,Germany’s government says its economy is on track to shrink for a second consecutive year. The German economy is Europe’s biggest.
China announces more support for economy but holds back on major spending package,https://apnews.com/article/china-economy-monetary-fiscal-stimulus-85d066a30085549200cdff18984c343a,2024-10-08 08:43:43,China’s economic planning agency has outlined details of measures aimed at boosting the economy but refrained from major spending initiatives.
"US adds a robust 254,000 jobs and unemployment dips to 4.1% in sign of still-sturdy labor market",https://apnews.com/article/jobs-hiring-federal-reserve-inflation-unemployment-economy-87447d5187b37bb0f5cf996e25bad808,2024-10-04 18:36:09,"America’s employers added a surprisingly strong 254,000 jobs in September, easing concerns about a weakening labor market and suggesting that the pace of hiring is still solid enough to support a growing economy."
Stock market today: Dow rallies to a record after a blockbuster jobs report,https://apnews.com/article/stock-markets-rates-oil-iran-cb6a744bb4c16fe09d59091a60c66609,2024-10-04 23:06:53,U.S. stocks rallied after a surprisingly strong U.S. jobs report raised optimism about the economy. The S&P 500 climbed 0.9% Friday to near its all-time high set on Monday.
"US economy grew at a solid 3% rate last quarter, government says in final estimate",https://apnews.com/article/economy-growth-inflation-gdp-consumers-federal-reserve-6ac0d113be186b0e1e9e2c85ce927280,2024-09-26 16:26:30,"The American economy expanded at a healthy 3% annual pace from April through June, boosted by strong consumer spending and business investment, the government said, leaving its previous estimate unchanged."
China redoubles first-aid for its economy with support for banks and workers,https://apnews.com/article/china-economy-banks-jinping-communists-politburo-282c04f87725a0ca14a22bd7874aac10,2024-09-26 13:11:45,"China is redoubling its first-aid for the economy, targeting banks, workers and poor families as the ruling Communist Party prepares to mark the 75th anniversary of the founding of the People’s Republic."
Harris is making a ‘capitalist’ pitch to boost the economy as Trump pushes deeper into populism,https://apnews.com/article/harris-trump-economy-taxes-middle-class-tariffs-bda4bfe7cb02c1c5c2f6232bf05ad670,2024-09-26 00:37:29,Vice President Kamala Harris is pledging to build an economy that is both pro-business and helps the middle class as she pushes back against Republican nominee Donald Trump’s claims that she’s advancing “communist” ideas.
"Asian Development Bank raises growth forecast for region, but warns of risks from trade sanctions",https://apnews.com/article/asia-economies-china-nina-trade-growth-042c810aab3de314b80402a42b28f59e,2024-09-25 10:15:46,"The Asian Development Bank says it expects developing economies in the region to grow at a 5% annual pace this year, up slightly from its earlier estimate of 4.9% growth."
"Japan’s economy is growing, but political uncertainty is among the risks",https://apnews.com/article/japan-economy-growth-consumption-wages-revised-4cae5c236ce32b21f1becf6f06e45da8,2024-09-09 03:46:38,"Japan’s economy grew at an annual rate of 2.9%, slower than the earlier report for 3.1% growth, in the April-June period, boosted by better wages and spending."
Stock market today: Wall Street falls sharply to close its worst week in nearly 18 months,https://apnews.com/article/stock-markets-fed-inflation-recession-typhoon-579d2e507f4a07d6667404a1e2eed14c,2024-09-06 23:17:02,Another rout hit Wall Street after an update on the U.S. job market came in weak enough to add to worries about the economy.
"Stock market today: Wall Street tumbles on worries about the economy, and Dow drops more than 600",https://apnews.com/article/stock-markets-employment-fed-inflation-growth-aa764f4e90e3a90e892ba3fe5f649031,2024-09-03 22:20:48,U.S. stocks tumbled to their worst day since an early August sell-off after another report raised worries about the economy’s health.
US economic growth for last quarter is revised up to a solid 3% annual rate,https://apnews.com/article/economy-growth-inflation-gdp-consumers-federal-reserve-0fc268d1feb244322f79b4bd9d80a54f,2024-08-29 16:14:25,"The U.S. economy grew last quarter at a healthy 3% annual pace, fueled by strong consumer spending and business investment, the government said in an upgrade of its initial assessment."
US shoppers sharply boosted spending at retailers in July despite higher prices,https://apnews.com/article/retailers-spending-consumers-inflation-stores-shoppers-economy-7032cf170e9fe2400715097dbffb74ab,2024-08-15 18:57:25,"Americans stepped up spending at retailers last month by the most in a year and a half, easing concerns that the economy might be weakening under the pressure of higher prices and elevated interest rates."
UK economy grows 0.6% between April and June as it recovers from recession,https://apnews.com/article/uk-britain-economy-gdp-2024-a0c018c4fa3ef74cb28d01a0a51b6ccf,2024-08-15 12:49:28,"Official figures show that Britain’s economy continued its recovery from recession at the end of last year, with its GDP increasing by 0.6% between April and June."
Japan’s economy grew last quarter on healthy consumer spending and business investment,https://apnews.com/article/japan-economy-gdp-growth-consumption-ecd7c12fc67ce30c44eae29b9877c199,2024-08-15 04:52:32,"Japan’s economy grew at an annual rate of 3.1% last quarter, rebounding from the contraction in the previous quarter."
Wall Street ends a wild and scary week almost exactly where it began. More tests loom next week,https://apnews.com/article/stocks-markets-china-inflation-rates-9b02c8c86f09d8b34f7406c3deb23ed9,2024-08-09 23:20:04,"U.S. stocks closed a wild, whipsaw week for Wall Street with modest gains. The S&P 500 rose 0.5% Friday, coming off its best day since 2022, trimming its loss for the week down to less than 0.1%."
Saudi Arabia’s Aramco reports lower half-year profits as economic worries dampen energy prices,https://apnews.com/article/saudi-arabia-aramco-earnings-oil-energy-prices-acb0ec297d4b36df17fc94bf23bdddb8,2024-08-06 12:40:54,"Saudi oil giant Aramco has reported half-year profits of $56.3 billion, down from the year before due to weakening volumes sold amid worries about the global economy."
Nearly everything on Wall Street tumbles over worries the U.S. is headed for an economic slowdown,https://apnews.com/article/stocks-markets-nikkei-economy-c6240977e9482bf7207abc53b2a11e58,2024-08-06 03:20:32,"The drops were just the latest in a sell-off that swept global markets, with Japan’s Nikkei 225 having its worst day since the Black Monday crash of 1987."
"The Fed’s high rates spur fear of slowdown, yet recession signals have so far proved wrong",https://apnews.com/article/economy-recession-jobs-unemployment-c7f1985b1ab3a7b781920c2693cd0438,2024-08-05 23:23:31,"The turmoil shaking global financial markets reflects a sudden fear that the Federal Reserve may have held its key interest rate too high for too long, heightening the risk of a U.S. recession."
Stock market today: Dow drops 600 on weak jobs data as a global sell-off whips back to Wall Street,https://apnews.com/article/stocks-markets-rates-yen-inflation-20ce445cdd86be98fb3682a33e88442b,2024-08-02 22:41:04,Stocks tumbled Friday on worries the U.S. economy could be cracking under the weight of high interest rates meant to whip inflation. The S&P 500 fell 1.8% Friday.
"US hiring fell sharply in July, an unexpected setback for the economy stoking recession fears",https://apnews.com/article/economy-jobs-unemployment-federal-reserve-inflation-22095766804d9c1532b4fcc29565be49,2024-08-02 22:52:52,"The U.S. economy suffered an unexpected setback in July, as hiring fell sharply and the unemployment rate rose for the fourth straight month in a sign that higher interest rates may be taking a bigger toll on businesses and consumers."
"Bank of Japan raises its key interest rate, aiming to curb yen’s slide against the dollar",https://apnews.com/article/japan-economy-rates-boj-yen-e00919b053412fabf7a800ed78a9ad7a,2024-07-31 13:31:59,"The Bank of Japan has raised its key interest rate to 0.25% from a range of zero to about 0.1%, acting to curb the yen’s slide against the U.S. dollar."
Ethiopia’s currency dives by 30% as IMF-backed reforms to stabilize the economy take effect,https://apnews.com/article/ethiopia-currency-exchange-rate-reforms-inflation-e35f9e007c84f92b386d512ec3f1f3d1,2024-07-30 15:32:09,Ethiopia’s currency has lost 30% of its value the day after the central bank began implementing a flexible exchange rate policy backed by the International Monetary Fund as part of new measures to stabilize the eastern African nation’s economy.
China’s top leaders vow to support consumers and improve confidence in its slowing economy,https://apnews.com/article/china-economy-politburo-xi-jinping-9b3ba568700788be08c6a47ce7c9672d,2024-07-30 11:31:12,China’s powerful Politburo has endorsed the ruling Communist Party’s strategy for growing the economy by encouraging more consumer spending and weeding out unproductive companies to promote “survival of the fittest.”
"Europe’s growth lags US again, as Germany remains the eurozone’s economic problem child",https://apnews.com/article/economy-eurozone-gdp-europe-germany-eurostat-f685f16b12ed892848ab5aa482d1964f,2024-07-30 13:30:07,"Europe’s economy enjoyed only modest growth in the April-June quarter even as the U.S. outperformed expectations, highlighting a persistent transatlantic growth gap."
US economic growth increased last quarter to a healthy 2.8% annual rate,https://apnews.com/article/economy-growth-inflation-gdp-consumers-federal-reserve-ffba812f747d18d1f09fcf804fe4eceb,2024-07-25 15:53:10,"The nation’s economy accelerated last quarter at a strong 2.8% annual pace, with consumers and businesses helping drive growth despite the pressure of continually high interest rates."
"China moves to pep up its slowing economy, lays out roadmap for its future",https://apnews.com/article/china-property-economy-rates-pboc-4fadac1744961f47a1c10db74c9fd30d,2024-07-22 13:19:01,"China’s central bank has cut key interest rates in a surprise move aimed at injecting pep into the economy, while the ruling Communist Party released a 50-page roadmap addressing long-term challenges."
China’s Communist Party charts technology- and security-focused development for reviving the economy,https://apnews.com/article/china-economy-plenum-xi-jinping-reform-bd489b31c00113e605b22f51004640e7,2024-07-17 13:28:33,"In a year of major elections setting the course of many countries for years to come, China’s ruling Communist Party is holding top-level meetings in Beijing to draft policies for reviving its slowing economy."
